train_acc,train_loss,val_acc,val_loss
0.009452631578947369,4.6086082,0.0104,4.606702
0.00976842105263158,4.606435,0.0092,4.606437
0.009410526315789473,4.6061735,0.0084,4.6068487
0.008736842105263157,4.6060214,0.0076,4.6067204
0.00888421052631579,4.6059566,0.007600000000000001,4.6068373
0.009663157894736842,4.6059675,0.007200000000000001,4.6067734
0.009789473684210527,4.605873,0.0072,4.606582
0.009094736842105263,4.6058807,0.0076,4.6066284
0.00911578947368421,4.6058173,0.0068000000000000005,4.60698
0.009263157894736843,4.6058207,0.0064,4.606748
0.009557894736842104,4.6057835,0.007200000000000001,4.606699
0.009221052631578948,4.605779,0.0072,4.606714
0.008105263157894737,4.60578,0.0072,4.6067543
0.00928421052631579,4.605757,0.0072,4.6067953
0.00886315789473684,4.6057277,0.0064,4.6067104
0.008757894736842105,4.6057243,0.007200000000000001,4.6066732
0.009157894736842106,4.6057463,0.0072,4.606791
0.00911578947368421,4.605693,0.008,4.6069627
0.008989473684210525,4.605698,0.0072,4.6067934
0.008842105263157892,4.6056848,0.0063999999999999994,4.6070356
0.009305263157894737,4.605654,0.0072,4.606889
0.00928421052631579,4.605638,0.0076,4.6067076
0.009494736842105262,4.605639,0.006400000000000001,4.606845
0.008652631578947368,4.6056623,0.0064,4.606904
0.0092,4.6056137,0.0076,4.6068864
0.008673684210526316,4.6055984,0.0064,4.6068583
0.009157894736842104,4.6056004,0.0064,4.6069036
0.009263157894736843,4.605578,0.0064,4.606908
0.00928421052631579,4.6055546,0.006400000000000001,4.606897
0.008968421052631579,4.605564,0.0064,4.606846
0.009389473684210526,4.605554,0.0064,4.606863
0.009578947368421051,4.605537,0.0064,4.606799
0.008863157894736842,4.6055107,0.0063999999999999994,4.606832
0.00976842105263158,4.605537,0.0064,4.6068554
0.008905263157894737,4.6054964,0.0064,4.6068516
0.008673684210526314,4.605513,0.0064,4.606868
0.009452631578947369,4.6054792,0.0064,4.606818
0.009263157894736843,4.605488,0.0064,4.606924
0.009263157894736843,4.605473,0.0064,4.6069
0.009410526315789473,4.605457,0.0064,4.60685
0.008863157894736842,4.6054544,0.006400000000000001,4.6068754
0.009936842105263159,4.6054444,0.0064,4.6068306
0.009473684210526316,4.605483,0.0064,4.606795
0.009073684210526317,4.60544,0.0064,4.606799
0.009831578947368422,4.605423,0.0064,4.606838
0.00976842105263158,4.605413,0.006400000000000001,4.6068563
0.009136842105263157,4.6054034,0.006400000000000001,4.6068053
0.00943157894736842,4.6053915,0.0064,4.6068034
0.00934736842105263,4.605406,0.0064,4.606829
0.009557894736842105,4.605388,0.006400000000000001,4.6068597
0.009010526315789474,4.605372,0.0064,4.6068516
0.009663157894736844,4.605364,0.006400000000000001,4.6068406
0.010168421052631578,4.6054177,0.0064,4.606923
0.010168421052631578,4.605353,0.0076,4.607029
0.010042105263157896,4.605364,0.0064,4.6068087
0.009810526315789474,4.6053367,0.0064,4.6068373
0.009789473684210527,4.605332,0.0064,4.6068425
0.009789473684210527,4.6053257,0.006400000000000001,4.606835
0.009242105263157895,4.605322,0.0064,4.6068287
0.009452631578947369,4.6053114,0.006400000000000001,4.6068573
0.009852631578947368,4.605306,0.006400000000000001,4.606844
0.009536842105263158,4.605296,0.0063999999999999994,4.6068645
0.009747368421052633,4.6053123,0.0064,4.606846
0.009642105263157895,4.6052814,0.0064,4.6068654
0.009494736842105262,4.6052785,0.0064,4.6068435
0.010189473684210526,4.6052666,0.0064,4.6068673
0.009915789473684211,4.6052594,0.006400000000000001,4.606847
0.009557894736842104,4.6052556,0.006400000000000001,4.6068573
0.009705263157894736,4.605247,0.0064,4.606861
0.010063157894736843,4.605241,0.0064,4.606877
0.009936842105263159,4.6052375,0.006400000000000001,4.6068635
0.009705263157894738,4.6052303,0.006400000000000001,4.606868
0.009642105263157895,4.60523,0.006400000000000001,4.606858
0.009578947368421051,4.60522,0.006400000000000001,4.606868
0.010063157894736842,4.605211,0.0064,4.606858
0.009789473684210527,4.6052074,0.0064,4.6068635
0.009494736842105262,4.6052003,0.0064,4.6068635
0.00983157894736842,4.605194,0.0064,4.606859
0.010042105263157896,4.6051903,0.006400000000000001,4.6068525
0.009578947368421051,4.605188,0.006400000000000001,4.606861
0.00983157894736842,4.605185,0.006400000000000001,4.6068683
0.009452631578947367,4.6051793,0.006400000000000001,4.606868
0.010063157894736845,4.6051745,0.0064,4.6068645
0.009747368421052633,4.6051693,0.0064,4.606863
0.009978947368421053,4.6051674,0.0064,4.606863
0.009705263157894738,4.6051636,0.0064,4.60686
0.009242105263157895,4.60516,0.0064,4.606863
0.009978947368421053,4.605155,0.0064,4.6068597
0.009305263157894737,4.605153,0.006400000000000001,4.6068635
0.00985263157894737,4.6051507,0.006400000000000001,4.6068573
0.009957894736842107,4.6051483,0.0064,4.606862
0.010189473684210526,4.605147,0.0064,4.606861
0.00991578947368421,4.605144,0.0064,4.606864
0.009494736842105262,4.605143,0.006400000000000001,4.6068597
0.010189473684210526,4.6051407,0.0064,4.606861
0.010189473684210528,4.6051393,0.0064,4.606859
0.010042105263157896,4.605139,0.0064,4.6068625
0.010189473684210526,4.6051373,0.006400000000000001,4.606862
0.010063157894736843,4.605137,0.006400000000000001,4.60686
0.010189473684210526,4.6051373,0.0064,4.606862
